column,ks_score,FDR,rank_ks,rank_FDR,average_rank
card_zip_avg_7,0.5672148263928389,0.2662807525325615,378.0,323.0,350.5
Cardnum_avg_1,0.5411656223407406,0.3024602026049204,348.0,353.0,350.5
Cardnum_avg_14,0.5233660251431068,0.3733719247467438,337.0,363.0,350.0
card_merch_avg_1,0.5558764359235713,0.2720694645441389,367.0,333.0,350.0
card_zip_avg_0,0.5439606833764306,0.2908827785817655,351.0,348.0,349.5
card_state_avg_0,0.5424995270634663,0.2937771345875543,349.0,350.0,349.5
merch_state_max_7,0.5032478091503042,0.447178002894356,311.0,385.0,348.0
card_zip_avg_1,0.5528128933973341,0.2735166425470333,361.0,334.5,347.75
Cardnum_avg_0,0.5372099609170458,0.2995658465991317,343.0,352.0,347.5
Cardnum_avg_30,0.5207975106677544,0.3675832127351664,332.0,361.0,346.5
card_merch_avg_7,0.5657984095754808,0.2633863965267728,373.0,316.5,344.75
merch_zip_avg_1,0.546248184850775,0.2691751085383502,357.0,330.5,343.75
merch_state_avg_1,0.5449883785264934,0.2662807525325615,355.0,323.0,339.0
Cardnum_total_30,0.4912498561269081,0.3950795947901592,304.0,365.0,334.5
merch_zip_max_14,0.4900694902303965,0.3748191027496382,301.0,364.0,332.5
Merchnum_avg_1,0.5393940496070191,0.2619392185238784,346.0,314.5,330.25
Cardnum_med_1,0.5138900441645597,0.2778581765557164,321.0,338.0,329.5
merch_state_max_14,0.4789703113826603,0.3270622286541244,298.0,356.5,327.25
card_state_med_0,0.5185671021318325,0.2677279305354558,326.0,327.0,326.5
Cardnum_med_0,0.51030763478157,0.276410998552822,316.0,336.5,326.25
card_merch_med_0,0.5198297130215104,0.2648335745296671,331.0,319.0,325.0
Cardnum_med_3,0.5006390291289062,0.2793053545586107,310.0,339.5,324.75
card_state_med_1,0.5172989711451844,0.2662807525325615,325.0,323.0,324.0
card_zip_med_0,0.5196759070938299,0.2648335745296671,329.0,319.0,324.0
merch_zip_avg_3,0.5309822676455965,0.2532561505065123,340.0,305.5,322.75
Merchnum_max_7,0.4556892133766106,0.3270622286541244,288.0,356.5,322.25
